id,labels
http://dblp.l3s.de/d2r/resource/publications/conf/cscw/2013,computer work supported cooperative
http://dblp.l3s.de/d2r/resource/publications/conf/nph/2006,natural phenomena
http://dblp.l3s.de/d2r/resource/publications/conf/cscw/2016,computing social work computer-supported cooperative
http://dblp.l3s.de/d2r/resource/publications/conf/nph/2009,natural phenomena
http://dblp.l3s.de/d2r/resource/publications/conf/cscw/2015,computer computing social work supported cooperative
http://dblp.l3s.de/d2r/resource/publications/conf/icdsp/2013,digital processing signal
http://dblp.l3s.de/d2r/resource/collections/sp/wooldridgeV99,artificial intelligence
http://dblp.l3s.de/d2r/resource/publications/conf/icoin/2002-2,technologies information networking wireless network
http://dblp.l3s.de/d2r/resource/publications/conf/icoin/2002-1,technologies information networking wireless network
http://dblp.l3s.de/d2r/resource/journals/midm,making decision medicine information
http://dblp.l3s.de/d2r/resource/publications/conf/wkdd/2008,data discovery mining knowledge
http://dblp.l3s.de/d2r/resource/publications/conf/icse/2016ast,automation software test
http://dblp.l3s.de/d2r/resource/publications/conf/wkdd/2009,data discovery mining knowledge
http://dblp.l3s.de/d2r/resource/publications/conf/dasfaa/2013-1,database systems
http://dblp.l3s.de/d2r/resource/publications/conf/dasfaa/2013-2,database systems
http://dblp.l3s.de/d2r/resource/publications/conf/pldi/2012soap,java state program
http://dblp.l3s.de/d2r/resource/publications/conf/mobicom/2008vanet,ad vehicular networks hoc
http://dblp.l3s.de/d2r/resource/publications/conf/cyberc/2016,computing discovery distributed cyber-enabled knowledge
http://dblp.l3s.de/d2r/resource/publications/conf/cyberc/2015,computing discovery distributed cyber-enabled knowledge
http://dblp.l3s.de/d2r/resource/publications/journals/topnoc/2013-7,models nets petri concurrency
http://dblp.l3s.de/d2r/resource/publications/journals/topnoc/2013-8,models nets petri concurrency
http://dblp.l3s.de/d2r/resource/publications/conf/huc/1999,ubiquitous computing handheld
http://dblp.l3s.de/d2r/resource/publications/conf/wkdd/2010,data discovery mining knowledge
http://dblp.l3s.de/d2r/resource/publications/conf/cyberc/2014,computing discovery distributed cyber-enabled knowledge
http://dblp.l3s.de/d2r/resource/publications/conf/cyberc/2013,computing discovery distributed cyber-enabled knowledge
http://dblp.l3s.de/d2r/resource/publications/conf/cyberc/2012,computing discovery distributed cyber-enabled knowledge
http://dblp.l3s.de/d2r/resource/publications/conf/icids/2009,digital storytelling joint interactive
http://dblp.l3s.de/d2r/resource/publications/conf/cyberc/2011,computing discovery distributed cyber-enabled knowledge
http://dblp.l3s.de/d2r/resource/publications/conf/icids/2008,digital storytelling joint interactive
http://dblp.l3s.de/d2r/resource/publications/conf/bxml/2005,xml
http://dblp.l3s.de/d2r/resource/publications/conf/bxml/2004,xml
http://dblp.l3s.de/d2r/resource/publications/conf/bxml/2003,xml
http://dblp.l3s.de/d2r/resource/publications/conf/icids/2014,digital storytelling interactive
http://dblp.l3s.de/d2r/resource/publications/conf/icids/2013,storytelling interactive
http://dblp.l3s.de/d2r/resource/publications/conf/icids/2016,digital storytelling interactive
http://dblp.l3s.de/d2r/resource/publications/conf/icids/2015,digital storytelling interactive
http://dblp.l3s.de/d2r/resource/publications/conf/isaac/2003,algorithms computation
http://dblp.l3s.de/d2r/resource/publications/conf/isaac/2004,algorithms computation
http://dblp.l3s.de/d2r/resource/publications/conf/isaac/2001,algorithms computation
http://dblp.l3s.de/d2r/resource/publications/conf/isaac/2002,algorithms computation
http://dblp.l3s.de/d2r/resource/conferences/complex,complex
http://dblp.l3s.de/d2r/resource/publications/conf/icids/2010,digital storytelling joint interactive
http://dblp.l3s.de/d2r/resource/publications/conf/isaac/2000,algorithms computation
http://dblp.l3s.de/d2r/resource/publications/conf/icids/2012,storytelling interactive
http://dblp.l3s.de/d2r/resource/publications/conf/icids/2011,digital storytelling interactive
http://dblp.l3s.de/d2r/resource/publications/conf/ismvl/1993,multiple-valued logic
http://dblp.l3s.de/d2r/resource/publications/conf/ismvl/1992,multiple-valued logic
http://dblp.l3s.de/d2r/resource/publications/conf/ismvl/1991,multiple-valued logic
http://dblp.l3s.de/d2r/resource/publications/conf/ismvl/1990,multiple-valued logic
http://dblp.l3s.de/d2r/resource/publications/conf/culture/2013,computing culture
http://dblp.l3s.de/d2r/resource/publications/conf/culture/2015,computing culture
http://dblp.l3s.de/d2r/resource/publications/conf/sfp/1999,functional bridge programming
http://dblp.l3s.de/d2r/resource/journals/mics,computer mathematics science
http://dblp.l3s.de/d2r/resource/publications/conf/isaac/2014,algorithms computation
http://dblp.l3s.de/d2r/resource/publications/conf/isaac/2015,algorithms computation
http://dblp.l3s.de/d2r/resource/publications/conf/isaac/2012,algorithms computation
http://dblp.l3s.de/d2r/resource/conferences/pascal,implementation language
http://dblp.l3s.de/d2r/resource/publications/conf/icse/2009c,volume software companion engineering
http://dblp.l3s.de/d2r/resource/publications/conf/isaac/2013,algorithms computation
http://dblp.l3s.de/d2r/resource/publications/conf/culture/2010,computing culture interaction communication crosscultural
http://dblp.l3s.de/d2r/resource/publications/conf/isaac/2011,algorithms computation
http://dblp.l3s.de/d2r/resource/publications/conf/culture/2011,computing culture
http://dblp.l3s.de/d2r/resource/publications/conf/malware/2012,malicious software unwanted
http://dblp.l3s.de/d2r/resource/conferences/complexsystems,adaptive systems complex
http://dblp.l3s.de/d2r/resource/publications/conf/malware/2013,malicious software unwanted
http://dblp.l3s.de/d2r/resource/publications/conf/kdd/2001mdm,multimedia data mining
http://dblp.l3s.de/d2r/resource/publications/conf/malware/2014,malicious software unwanted
http://dblp.l3s.de/d2r/resource/publications/conf/isaac/2009,algorithms computation
http://dblp.l3s.de/d2r/resource/publications/conf/malware/2015,malicious software unwanted
http://dblp.l3s.de/d2r/resource/publications/conf/malware/2016,malicious software unwanted
http://dblp.l3s.de/d2r/resource/publications/conf/isaac/2007,algorithms computation
http://dblp.l3s.de/d2r/resource/publications/conf/isaac/2008,algorithms computation
http://dblp.l3s.de/d2r/resource/publications/conf/isaac/2005,algorithms computation
http://dblp.l3s.de/d2r/resource/publications/conf/isaac/2006,algorithms computation
http://dblp.l3s.de/d2r/resource/publications/conf/siggraph/2016posters,special computer interest techniques interactive graphics
http://dblp.l3s.de/d2r/resource/publications/conf/gmai/2006,modeling geometric imaging
http://dblp.l3s.de/d2r/resource/publications/conf/sigsoft/2007syanco,synthesis component connectors conjunction analysis
http://dblp.l3s.de/d2r/resource/publications/conf/dbsec/2012,security data privacy dbsec
http://dblp.l3s.de/d2r/resource/publications/conf/dbsec/2013,security data privacy dbsec
http://dblp.l3s.de/d2r/resource/publications/conf/dagstuhl/1993gtcs,computer transformations science graph
http://dblp.l3s.de/d2r/resource/publications/conf/dbsec/2010,security data privacy working
http://dblp.l3s.de/d2r/resource/publications/conf/icse/2008c,volume software companion engineering
http://dblp.l3s.de/d2r/resource/publications/conf/dbsec/2011,security data privacy dbsec
http://dblp.l3s.de/d2r/resource/publications/conf/dbsec/2016,security data privacy dbsec
http://dblp.l3s.de/d2r/resource/publications/conf/fm/1991-1,formal volume development contributions software
http://dblp.l3s.de/d2r/resource/publications/conf/malware/2010,malicious software unwanted
http://dblp.l3s.de/d2r/resource/publications/conf/dbsec/2014,security data privacy working dbsec
