id,n
http://ACM_CSS_SKOS#10003048,2
http://ACM_CSS_SKOS#10003049,2
http://ACM_CSS_SKOS#10003050,2
http://ACM_CSS_SKOS#10003051,2
http://ACM_CSS_SKOS#10003053,2
http://ACM_CSS_SKOS#10003056,2
http://ACM_CSS_SKOS#10003059,2
http://ACM_CSS_SKOS#10003062,2
http://ACM_CSS_SKOS#10003063,2
http://ACM_CSS_SKOS#10003064,2
http://ACM_CSS_SKOS#10003065,2
http://ACM_CSS_SKOS#10003066,2
http://ACM_CSS_SKOS#10003069,2
http://ACM_CSS_SKOS#10003073,2
http://ACM_CSS_SKOS#10003078,2
http://ACM_CSS_SKOS#10003080,2
http://ACM_CSS_SKOS#10003081,2
http://ACM_CSS_SKOS#10003082,2
http://ACM_CSS_SKOS#10003084,2
http://ACM_CSS_SKOS#10003090,2
http://ACM_CSS_SKOS#10003094,2
http://ACM_CSS_SKOS#10003095,2
http://ACM_CSS_SKOS#10003097,2
http://ACM_CSS_SKOS#10003098,2
http://ACM_CSS_SKOS#10003100,2
http://ACM_CSS_SKOS#10003101,2
http://ACM_CSS_SKOS#10003102,2
http://ACM_CSS_SKOS#10003103,2
http://ACM_CSS_SKOS#10003104,2
http://ACM_CSS_SKOS#10003105,2
http://ACM_CSS_SKOS#10003107,2
http://ACM_CSS_SKOS#10003108,2
http://ACM_CSS_SKOS#10003109,2
http://ACM_CSS_SKOS#10003110,2
http://ACM_CSS_SKOS#10003111,2
http://ACM_CSS_SKOS#10003112,2
http://ACM_CSS_SKOS#10003113,2
http://ACM_CSS_SKOS#10003114,2
http://ACM_CSS_SKOS#10003119,2
http://ACM_CSS_SKOS#10003122,2
http://ACM_CSS_SKOS#10003124,2
http://ACM_CSS_SKOS#10003125,2
http://ACM_CSS_SKOS#10003126,2
http://ACM_CSS_SKOS#10003128,2
http://ACM_CSS_SKOS#10003129,2
http://ACM_CSS_SKOS#10003131,2
http://ACM_CSS_SKOS#10003134,2
http://ACM_CSS_SKOS#10003139,2
http://ACM_CSS_SKOS#10003140,2
http://ACM_CSS_SKOS#10003141,2
http://ACM_CSS_SKOS#10003142,2
http://ACM_CSS_SKOS#10003146,2
http://ACM_CSS_SKOS#10003147,2
http://ACM_CSS_SKOS#10003151,2
http://ACM_CSS_SKOS#10003153,2
http://ACM_CSS_SKOS#10003161,2
http://ACM_CSS_SKOS#10003166,2
http://ACM_CSS_SKOS#10003190,2
http://ACM_CSS_SKOS#10003197,2
http://ACM_CSS_SKOS#10003212,2
http://ACM_CSS_SKOS#10003219,2
http://ACM_CSS_SKOS#10003228,2
http://ACM_CSS_SKOS#10003233,2
http://ACM_CSS_SKOS#10003236,2
http://ACM_CSS_SKOS#10003238,2
http://ACM_CSS_SKOS#10003241,2
http://ACM_CSS_SKOS#10003245,2
http://ACM_CSS_SKOS#10003246,2
http://ACM_CSS_SKOS#10003247,2
http://ACM_CSS_SKOS#10003251,2
http://ACM_CSS_SKOS#10003261,2
http://ACM_CSS_SKOS#10003272,2
http://ACM_CSS_SKOS#10003277,2
http://ACM_CSS_SKOS#10003282,2
http://ACM_CSS_SKOS#10003300,2
http://ACM_CSS_SKOS#10003304,2
http://ACM_CSS_SKOS#10003309,2
http://ACM_CSS_SKOS#10003318,2
http://ACM_CSS_SKOS#10003325,2
http://ACM_CSS_SKOS#10003331,2
http://ACM_CSS_SKOS#10003338,2
http://ACM_CSS_SKOS#10003347,2
http://ACM_CSS_SKOS#10003351,2
http://ACM_CSS_SKOS#10003359,2
http://ACM_CSS_SKOS#10003365,2
http://ACM_CSS_SKOS#10003371,2
http://ACM_CSS_SKOS#10003392,2
http://ACM_CSS_SKOS#10003400,2
http://ACM_CSS_SKOS#10003447,2
http://ACM_CSS_SKOS#10003458,2
http://ACM_CSS_SKOS#10003459,2
http://ACM_CSS_SKOS#10003463,2
http://ACM_CSS_SKOS#10003465,2
http://ACM_CSS_SKOS#10003477,2
http://ACM_CSS_SKOS#10003480,2
http://ACM_CSS_SKOS#10003487,2
http://ACM_CSS_SKOS#10003490,2
http://ACM_CSS_SKOS#10003517,2
http://ACM_CSS_SKOS#10003520,2
http://ACM_CSS_SKOS#10003521,2
http://ACM_CSS_SKOS#10003527,2
http://ACM_CSS_SKOS#10003544,2
http://ACM_CSS_SKOS#10003551,2
http://ACM_CSS_SKOS#10003552,2
